PERMNO,HdrCUSIP,Ticker,PERMCO,MthCalDt,MthPrc,MthCap,MthRet,ShrOut,MthPrc_Abs,DateKey,Mkt-RF,SMB,HML,RMW,CMA,RF,ExcessRet,y_next,ret_lag1,ret_lag2,ret_lag3,history_len,log_size,predicted_return,rank
10065,00621210,ADX,20023,2022-06-30,15.34,1808156.48,-0.07646,117872,15.34,202206,-0.084,0.0133,-0.06,0.0176,-0.0458,0.0006,-0.07706,0.083946,-0.009194,-0.088395,0.033053,326,14.407818364861704,0.032803923318844186,2485.0
10026,46603210,JJSF,7976,2022-07-29,135.51,2600707.92,-0.029715,19192,135.51,202207,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,-0.0305149999999999,0.097871,0.094077,-0.143787,-0.034816,327,14.771294242854154,0.06096413230053745,303.0
10028,29402E10,ELA,7978,2022-07-29,6.65,179051.25,-0.067321,26925,6.65,202207,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,-0.068121,0.089829,0.344708,-0.024259,0.165236,49,12.095427356692351,0.03745225140210688,3955.0
10032,72913210,PLXS,7980,2022-07-29,93.95,2603542.4,0.196815,27712,93.95,202207,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,0.196015,-0.004242,-0.074892,0.044807,-0.00819,327,14.772383537221636,0.047407665493231124,630.0
10044,77467X10,RMCF,7992,2022-07-29,6.76,42026.92,-0.018868,6217,6.76,202207,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,-0.0196679999999999,-0.016693,0.020141,0.02088,-0.124503,292,10.64606564432421,0.03602318508940779,4856.0
10051,41043F20,HNGR,7999,2022-07-29,18.57,724768.53,0.296788,39029,18.57,202207,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,0.295988,0.001331,-0.093697,-0.039838,-0.10311,261,13.493607613894108,0.04649158581757705,2247.0
10065,00621210,ADX,20023,2022-07-29,16.64,1961390.08,0.084746,117872,16.64,202207,0.0957,0.0178,-0.0415,0.0077,-0.0684999999999999,0.0008,0.083946,-0.033352,-0.07706,-0.009194,-0.088395,327,14.489164004315658,0.04719090082147538,1219.0
10026,46603210,JJSF,7976,2022-08-31,149.03,2860183.76,0.099771,19192,149.03,202208,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,0.097871,-0.128759,-0.0305149999999999,0.094077,-0.143787,328,14.866396432480231,0.035428752431666904,131.0
10028,29402E10,ELA,7978,2022-08-31,7.26,195475.5,0.091729,26925,7.26,202208,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,0.089829,-0.30211295,-0.068121,0.344708,-0.024259,50,12.183190330861294,0.036432298626872514,1.0
10032,72913210,PLXS,7980,2022-08-31,93.73,2597445.76,-0.002342,27712,93.73,202208,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019,-0.004242,-0.067727,0.196015,-0.074892,0.044807,328,14.770039120120556,0.035428752431666904,132.0
